Timestamp,Energia_Orejas,Energia_Frente,Estado
11:43:29.369,0,0,Reposo
11:43:29.421,0,0,Reposo
11:43:29.472,63,160,Reposo
11:43:29.524,68,162,Reposo
11:43:29.576,77,172,Reposo
11:43:29.629,91,290,Reposo
11:43:29.680,103,384,Reposo
11:43:29.732,103,384,Reposo
11:43:29.783,125,432,Reposo
11:43:29.835,127,439,Reposo
11:43:29.886,124,459,CEJAS
11:43:29.938,113,451,En Cooldown
11:43:29.990,109,474,En Cooldown
11:43:30.042,108,457,En Cooldown
11:43:30.094,106,510,En Cooldown
11:43:30.145,105,509,En Cooldown
11:43:30.197,104,488,En Cooldown
11:43:30.248,104,488,En Cooldown
11:43:30.299,105,510,En Cooldown
11:43:30.351,78,500,En Cooldown
11:43:30.403,102,536,En Cooldown
11:43:30.454,103,545,En Cooldown
11:43:30.506,103,555,En Cooldown
11:43:30.557,104,560,En Cooldown
11:43:30.609,104,537,En Cooldown
11:43:30.661,103,538,En Cooldown
11:43:30.713,104,540,En Cooldown
11:43:30.764,104,546,En Cooldown
11:43:30.816,105,513,En Cooldown
11:43:30.868,105,482,En Cooldown
11:43:30.919,83,489,En Cooldown
11:43:30.972,82,499,CEJAS
11:43:31.023,113,493,En Cooldown
11:43:31.074,113,466,En Cooldown
11:43:31.126,114,434,En Cooldown
11:43:31.177,114,422,En Cooldown
11:43:31.229,114,430,En Cooldown
11:43:31.280,114,462,En Cooldown
11:43:31.332,114,461,En Cooldown
11:43:31.383,113,461,En Cooldown
11:43:31.435,113,467,En Cooldown
11:43:31.486,113,448,En Cooldown
11:43:31.537,83,429,En Cooldown
11:43:31.589,112,456,En Cooldown
11:43:31.640,112,456,En Cooldown
11:43:31.692,112,464,En Cooldown
11:43:31.744,112,458,En Cooldown
11:43:31.796,112,449,En Cooldown
11:43:31.847,112,433,En Cooldown
11:43:31.899,112,470,En Cooldown
11:43:31.950,112,487,En Cooldown
11:43:32.001,112,498,En Cooldown
11:43:32.054,111,508,CEJAS
11:43:32.105,82,499,En Cooldown
11:43:32.156,113,530,En Cooldown
11:43:32.207,113,527,En Cooldown
11:43:32.259,113,513,En Cooldown
11:43:32.311,112,524,En Cooldown
11:43:32.362,113,491,En Cooldown
11:43:32.414,113,454,En Cooldown
11:43:32.465,113,454,En Cooldown
11:43:32.517,113,455,En Cooldown
11:43:32.568,113,461,En Cooldown
11:43:32.620,82,428,En Cooldown
11:43:32.671,82,435,En Cooldown
11:43:32.723,114,479,En Cooldown
11:43:32.775,114,483,En Cooldown
11:43:32.827,114,501,En Cooldown
11:43:32.878,114,503,En Cooldown
11:43:32.929,115,480,En Cooldown
11:43:32.981,115,480,En Cooldown
11:43:33.032,114,502,En Cooldown
11:43:33.084,114,500,En Cooldown
11:43:33.136,115,494,CEJAS
11:43:33.187,115,503,En Cooldown
11:43:33.239,85,480,En Cooldown
11:43:33.290,85,480,En Cooldown
11:43:33.342,85,460,En Cooldown
11:43:33.394,105,519,En Cooldown
11:43:33.445,106,553,En Cooldown
11:43:33.497,106,553,En Cooldown
11:43:33.548,106,543,En Cooldown
11:43:33.600,106,543,En Cooldown
